Address,Total Tokens,Total Return,Good Trades,Bad Trades,Winning%,Unrealized Profits
0x11a4373cdbe76eb7dda4aa36093bf95f4d411929,0,0,0,0,0,0
0x2fb2c1f8e51f46de0e423c086fd4fa35b0510b06,0,0,0,0,0,0
0xbc65e64f455900b56b0ef52fe2ae553640775257,57,-25.92228428,2,5,0.285714286,-6347.905849
0xd07489f577b041cf5e38c3c6c06a3cf388bdc1e1,0,0,0,0,0,0
0x36af13e2188bcf041250231df380b828bf43aed2,2,0,0,0,0,0.070735832
0xf4faca935238f1f12ce0e5499a567946b8556a0b,0,0,0,0,0,0
0x177cedede56c25174823424bec382df16bb03596,1,0,0,0,0,-14.93015355
0xf08214cbe3527cf4fd65bfce128e32c6eedd2174,3,0,0,0,0,-497.784135
0xaf5760607ead7e0a152f8b9987e95174fc32af70,2,4.321895933,1,0,0,0
0xeed7e1c7c9c68611584e8f6230178ce0a48eef7f,12,-4.580559895,0,3,0,-12749.81123
0xf3d9281fa183b74f32b96e1c5244596045f4ede8,71,608.0352065,12,15,0.444444444,-480.447477
0xb72dc1e80a501256ed235a32a815b78fddfbf811,1,0,0,0,0,-44.99020883
0x0975616a5834061bfe99c7bcfcb060e4fd203777,1,0,0,0,0,-1800.193564
0xecc953efbd82d7dea4aa0f7bc3329ea615e0cff2,21,-1070.854271,5,3,0.625,-20295.35766
0x66b870ddf78c975af5cd8edc6de25eca81791de1,870,-56489.12526,9,27,0.25,-7998780.869
0x30df16cd7d612c5b25beb0331486b127a42ac371,16,-8.026107745,0,1,0,944.398402
0x3238934316238ebbda1ffb229ec9a37bf66c5564,9,0,0,0,0,-1385.694254
0x51ad1db815ccc9de24e7c861c7f6f815db2b8acc,12,-2.2294912,0,2,0,-17511.71566
0xd4fa6e82c77716fa1ef7f5defc5fd6eeefbd3bff,19,1.528718721,1,0,0,-2571.47056
0xfc1a540517fb09d967b5fb22c63f975b1e729d4c,0,0,0,0,0,0
0x77acc06250552c8a96e9560670328974386d632f,4,0,0,0,0,-2854.173897
0x54b55662901af57b31fb6b52af8175b652a5816e,32,-67561.573,0,14,0,-482154.1387
0xa477803db91cb844d67742427e3573a9e8d19993,10,0,0,0,0,403.361909
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,606,39544.25187,64,33,0.659793814,-18051712.12
0x0d807d0ca70448078220efa878d43f61bce3a5c3,8,-54.70014472,0,1,0,-0.031815371
0x4b1e684d5143eb7435e5d78385fa8cbdccd8f7ec,26,-830.6481027,0,2,0,-44.65276138
0x694e64d4ad77e0c234b7b1c55ac40302ad86ce3f,0,0,0,0,0,0
0x5c9e034967af745c96739bc63c5fa9bc402e3529,0,0,0,0,0,0
0x431b5ddb0ace97ebc3d936403ea25831bad832b6,10,-0.536865028,0,1,0,-198.8576734
0x6a9f813fb3e6a8f7013dabd1695bae1d49ae8481,1,0,0,0,0,-32.62164327
0xef56c4ec745d20b132f2787c298d6f1f4bca933d,2,-11.94181027,0,1,0,0
0xf40b3d16ae26262db9b19e0ec80d8a490c40bdcb,89,-39396.28838,0,5,0,-1328488.949
0x6d7a58dae866a2b6ac81808029f66e773e280260,1,0,0,0,0,-56.90327481
0x47d4f20ae83bcd350105f199f900e6e6104dab6a,7,0,0,0,0,-96965.20273
0x1d21dd4d82f8f162b562570125937ac1488b1930,0,0,0,0,0,0
0x6981378e696b0dd0e585d4d519c98b8a2c5bc020,15,0,0,0,0,410.847272
0x87246d341be37a9633072c633e40dc239d1a7a64,24,155.069354,2,1,0.666666667,3598.558951
0x5b76247e1fa700107d3eaf5ad4de09d0aca611bc,9,-174239.9433,0,2,0,-9348.519992
0x1447b49b636cb1fa24281efcd66aaac44188e3bc,3,0,0,0,0,-877.2332493
0xb9388206648ce2e17ec5e536b558f0707ff7517a,0,0,0,0,0,0
0xa357f162fe9c383edeee81fbc905c4bc7fca166f,16,400.7169976,2,1,0.666666667,-419.0372293
0x81dc6f15ee72f6e6d49cb6ca44c0bf8e63770027,31,-631.0903834,1,28,0.034482759,-2073.636737
0x7e3058ebee6e5f3adb830dfb02746830a22ae0af,1,0,0,0,0,-0.047981194
0x75f52ebf19407e3454bf5bd63b1987aee8b27c03,0,0,0,0,0,0
0xdeb0d084729fe02f487db54e3e8ec843c12a8529,0,0,0,0,0,0
0x77c9fdd5389652ca9160b82f7df6098e4a032c46,0,0,0,0,0,0
0xf28e42bb07e8a24d15d4f8f6d703e672a80dbc90,0,0,0,0,0,0
0x7d112b3216455499f848ad9371df0667a0d87eb6,0,0,0,0,0,0
0x675938d86a6a4651b6dbba7529117fb0b557ccf2,0,0,0,0,0,0
0x000001f568875f378bf6d170b790967fe429c81a,0,0,0,0,0,0
0xb50c6b3b12fabd530ed401746feffe3f09fa2dcb,0,0,0,0,0,0
0xab4f788186ac4da5f6e78d6ba23cdd95881009c5,0,0,0,0,0,0
0x4f2f9450a9015432f8ffd36219e88348e8555165,0,0,0,0,0,0
0x86af41182e08eb9f8bef914b833bbfaf5af56597,0,0,0,0,0,0
0xc480fb0ebea2591470f571436926785be5ebcd22,0,0,0,0,0,0
0x975d2dd35726e1f4e6af7e22880c49ffeda67339,0,0,0,0,0,0
0xc0549087333b7972088f3aef2b07eacbe0834b44,0,0,0,0,0,0
0x6ebbe71a30a9aec065de30f4789c7e98f0843cd2,0,0,0,0,0,0
0x0c7631385e22d78a04f0f6de877c23cf8a02cd2b,0,0,0,0,0,0
0x1846837591fcdeff4ec8e01ef8bb76645672b153,0,0,0,0,0,0
0x8e4261cc19a80c1392e81944e19fb1c6d7b38441,0,0,0,0,0,0
0x1444aa986e20babecd2b6f3382b4b02d0e14384e,0,0,0,0,0,0
0x33debb5ee65549ffa71116957da6db17a9d8fe57,0,0,0,0,0,0
0xb38094d492af4fffff760707f36869713bfb2250,0,0,0,0,0,0
0x6a5b7fee767612186a645ebdf77ffbb5b8011f42,0,0,0,0,0,0
0xf6f1640ed4b6aba6807e84a85dda657729a28935,0,0,0,0,0,0
0xf40addecdca67bf9e7cc145eae607a83b7349540,0,0,0,0,0,0
0x390ef97588d684cfd9ab123cbaef7b152a1b9c0e,0,0,0,0,0,0
0xd132d1cb6cb363ce4f8a5351573cbbbf96dcf17e,0,0,0,0,0,0
0x825a86e83d381818141357c2e7ac494918cb3265,0,0,0,0,0,0
0xebc453e098ea5ca81e216441891c84bc4fb6e8e6,0,0,0,0,0,0
0x5d4109bfcfadb94366ae7e25b508280368dadec2,0,0,0,0,0,0
0x5181e7418b1bedfc176703741e1b8a887e65a525,0,0,0,0,0,0
0x3b6ab0b00c32413ce401221fc06e407554292be6,0,0,0,0,0,0
0xf30f05253b242ef85514ac65dc261d01d91a8188,0,0,0,0,0,0
0x3a2a72ff37afe42b2c2747366be5ecdacb211d8a,0,0,0,0,0,0
0xe54c1880e9e37d4d310ce70514f17f5ce6222b98,0,0,0,0,0,0
0x000076a33ef6a2027f01f73f7dbb122a8f31f61d,0,0,0,0,0,0
0xf748727f54c1a57bc6fd23d46a188122f1cfabe2,0,0,0,0,0,0
0x8c6fdb5926e31994c9372f5907508b36aca500b6,0,0,0,0,0,0
